Function ID,Function,Surperclass,control_versus_adenoma_p,adenoma_versus_cancer_p,control_versus_adenoma_fc,adenoma_versus_cancer_fc
PWY-5971,palmitate biosynthesis II (bacteria and plant cytoplasm),Fatty Acid and Lipid Biosynthesis/Degradation,0.307951535,0.024445465,0.024253569,-0.023920791
PWY-5667,CDP-diacylglycerol biosynthesis I,Fatty Acid and Lipid Biosynthesis/Degradation,0.271005203,0.04916894,-0.003045366,-0.016447093
PWY0-1319,CDP-diacylglycerol biosynthesis II,Fatty Acid and Lipid Biosynthesis/Degradation,0.271005203,0.04916894,-0.003045366,-0.016447093
FAO-PWY,fatty acid beta-oxidation I (generic),Fatty Acid and Lipid Biosynthesis/Degradation,0.879533554,0.017592458,0.049776144,0.152735237
P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate",Fermentation,0.02382471,0.948768563,-0.080074432,0.007094611
PWY-6588,pyruvate fermentation to acetone,Fermentation,0.175564224,0.046015572,-0.033352339,0.023297261
PWY-5677,succinate fermentation to butanoate,Fermentation,0.021600253,0.001241172,0.035523039,0.09257979
PWY-7003,glycerol degradation to butanol,Fermentation,0.868675491,0.029336234,-0.013187341,0.106354806
PWY-6590,superpathway of Clostridium acetobutylicum acidogenic fermentation,Fermentation,0.824089756,0.036336886,0.021399265,0.12587515
CENTFERM-PWY,pyruvate fermentation to butanoate,Fermentation,0.824556853,0.035651093,0.021589125,0.127931566
PWY-7013,"(S)-propane-1,2-diol degradation",Fermentation,0.145014236,3.69E-08,-0.065759117,0.250074656
PWY490-3,nitrate reduction VI (assimilatory),Inorganic Nutrient Metabolism,0.701845776,0.003085767,0.00732431,-0.086414102
PWY-4984,urea cycle,Inorganic Nutrient Metabolism,0.012710624,0.655498887,0.044247473,0.011729732
PWY0-1533,methylphosphonate degradation I,Inorganic Nutrient Metabolism,0.083861251,0.008681634,0.002067522,0.121721778
SO4ASSIM-PWY,assimilatory sulfate ,Inorganic Nutrient Metabolism,0.048182311,0.637947067,0.043588152,0.000421339
PWY-6609,adenine and adenosine salvage III,Nucleoside and Nucleotide Biosynthesis/Degradation,0.0207773,0.41339479,-0.009752266,-0.013024648
PWY-6126,superpathway of adenosine nucleotides de novo biosynthesis II,Nucleoside and Nucleotide Biosynthesis/Degradation,0.018589068,0.544657553,0.003022707,-0.006751361
PWY-6545,pyrimidine deoxyribonucleotides de novo biosynthesis III,Nucleoside and Nucleotide Biosynthesis/Degradation,0.100692378,0.011864645,0.017544194,-0.006343855
PWY-7220,adenosine deoxyribonucleotides de novo biosynthesis II,Nucleoside and Nucleotide Biosynthesis/Degradation,0.007998317,0.42272415,0.005417356,0.000834261
PWY-7222,guanosine deoxyribonucleotides de novo biosynthesis II,Nucleoside and Nucleotide Biosynthesis/Degradation,0.007998317,0.42272415,0.005417356,0.000834261
P164-PWY,purine nucleobases degradation I (anaerobic),Nucleoside and Nucleotide Biosynthesis/Degradation,0.650588486,0.007788722,0.012369444,0.030463092
PWY-7392,taxadiene biosynthesis (engineered),Secondary Metabolite Biosynthesis/Degradation,0.031683833,0.675439841,0.040683233,0.051820944
PWY0-1261,anhydromuropeptides recycling I,Secondary Metabolite Biosynthesis/Degradation,0.001835307,0.608327882,-0.013068347,0.019689001
HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria),Secondary Metabolite Biosynthesis/Degradation,0.018623521,0.568865147,-0.055966735,0.024492175
ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,Others,0.280096703,0.015941786,0.09275129,0.200275995
GLYCOLYSIS-E-D,superpathway of glycolysis and the Entner-Doudoroff pathway,Others,0.018743203,0.996596576,0.030548259,0.041574478
PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis",Others,0.02648382,0.908229226,0.030763043,0.023548355
PWY-5913,partial TCA cycle (obligate autotrophs),TCA cycle,0.991949234,0.035706997,0.013959307,0.046960044
REDCITCYC,TCA cycle VI (Helicobacter),TCA cycle,0.986044682,0.049142171,0.026104113,0.106877543
